Pic Link,Dex Number,Name,Type 1,Type 2,Mega,Form,Evolves,Hp,Attack,Defense,Sp. Attk,Sp. Def,Speed,Weaknesses,,,,,,
https://cdn.bulbagarden.net/upload/thumb/9/92/040Wigglytuff.png/250px-040Wigglytuff.png,40,Wigglytuff,Normal,Fairy,$,$,,140,70,45,85,50,45,Poison,Steel,,,,,
https://cdn.bulbagarden.net/upload/thumb/d/da/041Zubat.png/250px-041Zubat.png,41,Zubat,Poison,Flying,$,$,22,40,45,35,30,40,55,Rock,Electric,Psychic,Ice,,,
https://cdn.bulbagarden.net/upload/thumb/0/0c/042Golbat.png/250px-042Golbat.png,42,Golbat,Poison,Flying,$,$,,75,80,70,65,75,90,Rock,Electric,Psychic,Ice,,,
https://cdn.bulbagarden.net/upload/thumb/4/43/043Oddish.png/250px-043Oddish.png,43,Oddish,Grass,Poison,$,$,21,45,50,55,75,65,30,Flying,Fire,Psychic,Ice,,,
https://cdn.bulbagarden.net/upload/thumb/2/2a/044Gloom.png/250px-044Gloom.png,44,Gloom,Grass,Poison,$,$,Leaf Stone / Sun Stone,60,65,70,85,75,40,Flying,Fire,Psychic,Ice,,,
https://cdn.bulbagarden.net/upload/thumb/6/6a/045Vileplume.png/250px-045Vileplume.png,45,Vileplume,Grass,Poison,$,$,,75,80,85,110,90,50,Flying,Fire,Psychic,Ice,,,
https://cdn.bulbagarden.net/upload/thumb/d/d4/046Paras.png/250px-046Paras.png,46,Paras,Bug,Grass,$,$,24,35,70,55,45,55,25,Flying,Poison,Rock,Bug,Fire,Ice,
https://cdn.bulbagarden.net/upload/thumb/8/80/047Parasect.png/250px-047Parasect.png,47,Parasect,Bug,Grass,$,$,,60,95,80,60,80,30,Flying,Poison,Rock,Bug,Fire,Ice,
https://cdn.bulbagarden.net/upload/thumb/a/ad/048Venonat.png/250px-048Venonat.png,48,Venonat,Bug,Poison,$,$,31,60,55,50,40,55,45,Flying,Rock,Fire,Psychic,,,
https://cdn.bulbagarden.net/upload/thumb/d/d3/049Venomoth.png/250px-049Venomoth.png,49,Venomoth,Bug,Poison,$,$,,70,65,60,90,75,90,Flying,Rock,Fire,Psychic,,,
https://cdn.bulbagarden.net/upload/thumb/3/31/050Diglett.png/250px-050Diglett.png,50,Diglett,Ground,$,$,50A,26,10,55,25,35,45,95,Water,Grass,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/e/e5/051Dugtrio.png/250px-051Dugtrio.png,51,Dugtrio,Ground,$,$,51A,,35,100,50,50,70,120,Water,Grass,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/d/d6/052Meowth.png/250px-052Meowth.png,52,Meowth,Normal,$,$,52A,28,40,45,35,40,40,90,Fighting,,,,,,
https://cdn.bulbagarden.net/upload/thumb/1/13/053Persian.png/250px-053Persian.png,53,Persian,Normal,$,$,53A,,65,70,60,65,65,115,Fighting,,,,,,
https://cdn.bulbagarden.net/upload/thumb/5/53/054Psyduck.png/250px-054Psyduck.png,54,Psyduck,Water,$,$,$,33,50,52,45,65,50,55,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/f/fe/055Golduck.png/250px-055Golduck.png,55,Golduck,Water,$,$,$,,80,82,78,95,80,85,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/4/41/056Mankey.png/250px-056Mankey.png,56,Mankey,Fighting,$,$,$,28,40,80,35,35,45,70,Flying,Psychic,Fairy,,,,
https://cdn.bulbagarden.net/upload/thumb/9/9a/057Primeape.png/250px-057Primeape.png,57,Primeape,Fighting,$,$,$,,65,105,60,60,70,95,Flying,Psychic,Fairy,,,,
https://cdn.bulbagarden.net/upload/thumb/3/3d/058Growlithe.png/250px-058Growlithe.png,58,Growlithe,Fire,$,$,$,Fire Stone,55,70,45,70,50,60,Ground,Rock,Water,,,,
https://cdn.bulbagarden.net/upload/thumb/b/b8/059Arcanine.png/250px-059Arcanine.png,59,Arcanine,Fire,$,$,$,,90,110,80,100,80,95,Ground,Rock,Water,,,,
https://cdn.bulbagarden.net/upload/thumb/4/49/060Poliwag.png/250px-060Poliwag.png,60,Poliwag,Water,$,$,$,25,40,50,40,40,40,90,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/a/a9/061Poliwhirl.png/250px-061Poliwhirl.png,61,Poliwhirl,Water,$,$,$,Water Stone / Kings Rock Trade,65,65,65,50,50,90,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/2/2d/062Poliwrath.png/250px-062Poliwrath.png,62,Poliwrath,Water,Fighting,$,$,,90,95,95,70,90,70,Flying,Grass,Electric,Psychic,Fairy,,
https://cdn.bulbagarden.net/upload/thumb/6/62/063Abra.png/250px-063Abra.png,63,Abra,Psychic,$,$,$,16,25,20,15,105,55,90,Bug,Ghost,Dark,,,,
https://cdn.bulbagarden.net/upload/thumb/9/97/064Kadabra.png/250px-064Kadabra.png,64,Kadabra,Psychic,$,$,$,Trade,40,35,30,120,70,105,Bug,Ghost,Dark,,,,
https://cdn.bulbagarden.net/upload/thumb/c/cc/065Alakazam.png/250px-065Alakazam.png,65,Alakazam,Psychic,$,Yes,$,,55,50,45,135,95,120,Bug,Ghost,Dark,,,,
https://cdn.bulbagarden.net/upload/thumb/8/85/066Machop.png/250px-066Machop.png,66,Machop,Fighting,$,$,$,28,70,80,50,35,35,35,Flying,Psychic,Fairy,,,,
https://cdn.bulbagarden.net/upload/thumb/8/8e/067Machoke.png/250px-067Machoke.png,67,Machoke,Fighting,$,$,$,Trade,80,100,70,50,60,45,Flying,Psychic,Fairy,,,,
https://cdn.bulbagarden.net/upload/thumb/8/8f/068Machamp.png/250px-068Machamp.png,68,Machamp,Fighting,$,$,$,,90,130,80,65,85,55,Flying,Psychic,Fairy,,,,
https://cdn.bulbagarden.net/upload/thumb/a/a2/069Bellsprout.png/250px-069Bellsprout.png,69,Bellsprout,Grass,Poison,$,$,21,50,75,35,70,30,40,Flying,Fire,Psychic,Ice,,,
https://cdn.bulbagarden.net/upload/thumb/9/9f/070Weepinbell.png/250px-070Weepinbell.png,70,Weepinbell,Grass,Poison,$,$,Leaf Stone,65,90,50,85,45,55,Flying,Fire,Psychic,Ice,,,
https://cdn.bulbagarden.net/upload/thumb/b/be/071Victreebel.png/250px-071Victreebel.png,71,Victreebel,Grass,Poison,$,$,,80,105,65,100,60,70,Flying,Fire,Psychic,Ice,,,
https://cdn.bulbagarden.net/upload/thumb/4/4e/072Tentacool.png/250px-072Tentacool.png,72,Tentacool,Water,Poison,$,$,30,40,40,35,50,100,70,Ground,Electric,Psychic,,,,
https://cdn.bulbagarden.net/upload/thumb/f/f6/073Tentacruel.png/250px-073Tentacruel.png,73,Tentacruel,Water,Poison,$,$,,80,70,65,80,120,100,Ground,Electric,Psychic,,,,
https://cdn.bulbagarden.net/upload/thumb/9/98/074Geodude.png/250px-074Geodude.png,74,Geodude,Rock,Ground,$,74A,25,40,80,100,30,30,20,Fighting,Ground,Steel,Water,Grass,Ice,
https://cdn.bulbagarden.net/upload/thumb/7/75/075Graveler.png/250px-075Graveler.png,75,Graveler,Rock,Ground,$,75A,Trade,55,95,115,45,45,35,Fighting,Ground,Steel,Water,Grass,Ice,
https://cdn.bulbagarden.net/upload/thumb/f/f2/076Golem.png/250px-076Golem.png,76,Golem,Rock,Ground,$,76A,,80,120,130,55,65,45,Fighting,Ground,Steel,Water,Grass,Ice,
https://cdn.bulbagarden.net/upload/thumb/3/3b/077Ponyta.png/250px-077Ponyta.png,77,Ponyta,Fire,$,$,$,40,50,85,55,65,65,90,Ground,Rock,Water,,,,
https://cdn.bulbagarden.net/upload/thumb/3/3f/078Rapidash.png/250px-078Rapidash.png,78,Rapidash,Fire,$,$,$,,65,100,70,80,80,105,Ground,Rock,Water,,,,
https://cdn.bulbagarden.net/upload/thumb/7/70/079Slowpoke.png/250px-079Slowpoke.png,79,Slowpoke,Water,Psychic,$,$,37,90,65,65,40,40,15,Bug,Ghost,Grass,Electric,Dark,,
https://cdn.bulbagarden.net/upload/thumb/8/80/080Slowbro.png/250px-080Slowbro.png,80,Slowbro,Water,Psychic,Yes,$,Kings Rock Trade,95,75,110,100,80,30,Bug,Ghost,Grass,Electric,Dark,,
https://cdn.bulbagarden.net/upload/thumb/6/6c/081Magnemite.png/250px-081Magnemite.png,81,Magnemite,Electric,Steel,$,$,30,25,35,70,95,55,45,Fighting,Ground,Fire,,,,
https://cdn.bulbagarden.net/upload/thumb/7/72/082Magneton.png/250px-082Magneton.png,82,Magneton,Electric,Steel,$,$,Magnetic Field,50,60,95,120,70,70,Fighting,Ground,Fire,,,,
https://cdn.bulbagarden.net/upload/thumb/f/f8/083Farfetch%27d.png/250px-083Farfetch%27d.png,83,Farfetch'd,Normal,Flying,$,$,,52,90,55,58,62,60,Rock,Electric,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/5/54/084Doduo.png/250px-084Doduo.png,84,Doduo,Normal,Flying,$,$,31,35,85,45,35,35,75,Rock,Electric,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/9/93/085Dodrio.png/250px-085Dodrio.png,85,Dodrio,Normal,Flying,$,$,,60,110,70,60,60,110,Rock,Electric,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/1/1f/086Seel.png/250px-086Seel.png,86,Seel,Water,$,$,$,34,65,45,55,45,70,45,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/c/c7/087Dewgong.png/250px-087Dewgong.png,87,Dewgong,Water,Ice,$,$,,90,70,80,70,95,70,Fighting,Rock,Grass,Electric,,,
https://cdn.bulbagarden.net/upload/thumb/a/a0/088Grimer.png/250px-088Grimer.png,88,Grimer,Poison,$,$,88A,38,80,80,50,40,50,25,Ground,Psychic,,,,,
https://cdn.bulbagarden.net/upload/thumb/7/7c/089Muk.png/250px-089Muk.png,89,Muk,Poison,$,$,89A,,105,105,75,65,100,50,Ground,Psychic,,,,,
https://cdn.bulbagarden.net/upload/thumb/4/40/090Shellder.png/250px-090Shellder.png,90,Shellder,Water,$,$,$,Water Stone,30,65,100,45,25,40,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/1/1d/091Cloyster.png/250px-091Cloyster.png,91,Cloyster,Water,Ice,$,$,,50,95,180,85,45,70,Fighting,Rock,Grass,Electric,,,
https://cdn.bulbagarden.net/upload/thumb/c/ca/092Gastly.png/250px-092Gastly.png,92,Gastly,Ghost,Poison,$,$,25,30,35,30,100,35,80,Ghost,Psychic,Dark,,,,
https://cdn.bulbagarden.net/upload/thumb/6/62/093Haunter.png/250px-093Haunter.png,93,Haunter,Ghost,Poison,$,$,Trade,45,50,45,115,55,95,Ghost,Psychic,Dark,,,,
https://cdn.bulbagarden.net/upload/thumb/c/c6/094Gengar.png/250px-094Gengar.png,94,Gengar,Ghost,Poison,Yes,$,,60,65,60,130,75,110,Ghost,Psychic,Dark,,,,
https://cdn.bulbagarden.net/upload/thumb/9/9a/095Onix.png/250px-095Onix.png,95,Onix,Rock,Ground,$,$,Metal Coat Trade,35,45,160,30,45,70,Fighting,Ground,Steel,Water,Grass,Ice,
https://cdn.bulbagarden.net/upload/thumb/3/3e/096Drowzee.png/250px-096Drowzee.png,96,Drowzee,Psychic,$,$,$,26,60,48,45,43,90,42,Bug,Ghost,Dark,,,,
https://cdn.bulbagarden.net/upload/thumb/0/0a/097Hypno.png/250px-097Hypno.png,97,Hypno,Psychic,$,$,$,,85,73,70,73,115,67,Bug,Ghost,Dark,,,,
https://cdn.bulbagarden.net/upload/thumb/a/a7/098Krabby.png/250px-098Krabby.png,98,Krabby,Water,$,$,$,28,30,105,90,25,25,50,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/7/71/099Kingler.png/250px-099Kingler.png,99,Kingler,Water,$,$,$,,55,130,115,50,50,75,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/d/da/100Voltorb.png/250px-100Voltorb.png,100,Voltorb,Electric,$,$,$,30,40,30,50,55,55,100,Ground,,,,,,
https://cdn.bulbagarden.net/upload/thumb/8/84/101Electrode.png/250px-101Electrode.png,101,Electrode,Electric,$,$,$,,60,50,70,80,80,150,Ground,,,,,,
https://cdn.bulbagarden.net/upload/thumb/a/af/102Exeggcute.png/250px-102Exeggcute.png,102,Exeggcute,Grass,Psychic,$,$,Leaf Stone,60,40,80,60,45,40,Flying,Poison,Bug,Ghost,Fire,Ice,Dark
https://cdn.bulbagarden.net/upload/thumb/2/24/103Exeggutor.png/250px-103Exeggutor.png,103,Exeggutor,Grass,Psychic,$,103A,,95,95,85,125,75,55,Flying,Poison,Bug,Ghost,Fire,Ice,Dark
https://cdn.bulbagarden.net/upload/thumb/2/2a/104Cubone.png/250px-104Cubone.png,104,Cubone,Ground,$,$,$,28,50,50,95,40,50,35,Water,Grass,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/9/98/105Marowak.png/250px-105Marowak.png,105,Marowak,Ground,$,$,105A,,60,80,110,50,80,45,Water,Grass,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/3/32/106Hitmonlee.png/250px-106Hitmonlee.png,106,Hitmonlee,Fighting,$,$,$,20: Attack > Defense,50,120,53,35,110,87,Flying,Psychic,Fairy,,,,
https://cdn.bulbagarden.net/upload/thumb/a/a3/107Hitmonchan.png/250px-107Hitmonchan.png,107,Hitmonchan,Fighting,$,$,$,20: Defense > Attack,50,105,79,35,110,76,Flying,Psychic,Fairy,,,,
https://cdn.bulbagarden.net/upload/thumb/0/00/108Lickitung.png/250px-108Lickitung.png,108,Lickitung,Normal,$,$,$,Know Rollout,90,55,75,60,75,30,Fighting,,,,,,
https://cdn.bulbagarden.net/upload/thumb/1/17/109Koffing.png/250px-109Koffing.png,109,Koffing,Poison,$,$,$,35,40,65,95,60,45,35,Psychic,,,,,,
https://cdn.bulbagarden.net/upload/thumb/4/42/110Weezing.png/250px-110Weezing.png,110,Weezing,Poison,$,$,$,,65,90,120,85,70,60,Psychic,,,,,,
https://cdn.bulbagarden.net/upload/thumb/9/9b/111Rhyhorn.png/250px-111Rhyhorn.png,111,Rhyhorn,Ground,Rock,$,$,42,80,85,95,30,30,20,Fighting,Ground,Steel,Water,Grass,Ice,
https://cdn.bulbagarden.net/upload/thumb/4/47/112Rhydon.png/250px-112Rhydon.png,112,Rhydon,Ground,Rock,$,$,Protector Trade,105,130,120,45,45,40,Fighting,Ground,Steel,Water,Grass,Ice,
https://cdn.bulbagarden.net/upload/thumb/c/cd/113Chansey.png/250px-113Chansey.png,113,Chansey,Normal,$,$,$,Friendship,250,5,5,35,105,50,Fighting,,,,,,
https://cdn.bulbagarden.net/upload/thumb/3/3e/114Tangela.png/250px-114Tangela.png,114,Tangela,Grass,$,$,$,Know Ancient Power,65,55,115,100,40,60,Flying,Poison,Bug,Fire,Ice,,
https://cdn.bulbagarden.net/upload/thumb/4/4e/115Kangaskhan.png/250px-115Kangaskhan.png,115,Kangaskhan,Normal,$,115,$,,105,95,80,40,80,90,Fighting,,,,,,
https://cdn.bulbagarden.net/upload/thumb/5/5a/116Horsea.png/250px-116Horsea.png,116,Horsea,Water,$,$,$,32,30,40,70,70,25,60,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/2/26/117Seadra.png/250px-117Seadra.png,117,Seadra,Water,$,$,$,Dragon Scale Trade,55,65,95,95,45,85,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/7/7b/118Goldeen.png/250px-118Goldeen.png,118,Goldeen,Water,$,$,$,33,45,67,60,35,50,63,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/6/6a/119Seaking.png/250px-119Seaking.png,119,Seaking,Water,$,$,$,,80,92,65,65,80,68,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/4/4f/120Staryu.png/250px-120Staryu.png,120,Staryu,Water,$,$,$,Water Stone,30,45,55,70,55,85,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/c/cd/121Starmie.png/250px-121Starmie.png,121,Starmie,Water,Psychic,$,$,,60,75,85,100,85,115,Bug,Ghost,Grass,Electric,Dark,,
https://cdn.bulbagarden.net/upload/thumb/e/ec/122Mr._Mime.png/250px-122Mr._Mime.png,122,Mr. Mime,Psychic,Fairy,$,$,,40,45,65,100,120,90,Poison,Ghost,Steel,,,,
https://cdn.bulbagarden.net/upload/thumb/b/ba/123Scyther.png/250px-123Scyther.png,123,Scyther,Bug,Flying,$,$,Metal Coat Trade,70,110,80,55,80,105,Flying,Rock,Fire,Electric,Ice,,
https://cdn.bulbagarden.net/upload/thumb/7/7c/124Jynx.png/250px-124Jynx.png,124,Jynx,Ice,Psychic,$,$,,65,50,35,115,95,95,Rock,Bug,Ghost,Steel,Fire,Dark,
https://cdn.bulbagarden.net/upload/thumb/d/de/125Electabuzz.png/250px-125Electabuzz.png,125,Electabuzz,Electric,$,$,$,Electrizer Trade,65,83,57,95,85,105,Ground,,,,,,
https://cdn.bulbagarden.net/upload/thumb/8/8c/126Magmar.png/250px-126Magmar.png,126,Magmar,Fire,$,$,$,Magmarizer Trade,65,95,57,100,85,93,Ground,Rock,Water,,,,
https://cdn.bulbagarden.net/upload/thumb/7/71/127Pinsir.png/250px-127Pinsir.png,127,Pinsir,Bug,$,Yes,$,,65,125,100,55,70,85,Flying,Rock,Fire,,,,
https://cdn.bulbagarden.net/upload/thumb/b/b8/128Tauros.png/250px-128Tauros.png,128,Tauros,Normal,$,$,$,,75,100,95,40,70,110,Fighting,,,,,,
https://cdn.bulbagarden.net/upload/thumb/0/02/129Magikarp.png/250px-129Magikarp.png,129,Magikarp,Water,$,$,$,20,20,10,55,15,20,80,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/4/41/130Gyarados.png/250px-130Gyarados.png,130,Gyarados,Water,Flying,Yes,$,,95,125,79,60,100,81,Rock,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/a/ab/131Lapras.png/250px-131Lapras.png,131,Lapras,Water,Ice,$,$,,130,85,80,85,95,60,Fighting,Rock,Grass,Electric,,,
https://cdn.bulbagarden.net/upload/thumb/3/36/132Ditto.png/250px-132Ditto.png,132,Ditto,Normal,$,$,$,,48,48,48,48,48,48,Fighting,,,,,,
https://cdn.bulbagarden.net/upload/thumb/e/e2/133Eevee.png/250px-133Eevee.png,133,Eevee,Normal,$,$,$,,55,55,50,45,65,55,Fighting,,,,,,
https://cdn.bulbagarden.net/upload/thumb/f/fd/134Vaporeon.png/250px-134Vaporeon.png,134,Vaporeon,Water,$,$,$,Water Stone,130,65,60,110,95,65,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/b/bb/135Jolteon.png/250px-135Jolteon.png,135,Jolteon,Electric,$,$,$,Thunder Stone,65,65,60,110,95,130,Ground,,,,,,
https://cdn.bulbagarden.net/upload/thumb/d/dd/136Flareon.png/250px-136Flareon.png,136,Flareon,Fire,$,$,$,Fire Stone,65,130,60,95,110,65,Ground,Rock,Water,,,,
https://cdn.bulbagarden.net/upload/thumb/6/6b/137Porygon.png/250px-137Porygon.png,137,Porygon,Normal,$,$,$,Up-Grade Trade,65,60,70,85,75,40,Fighting,,,,,,
https://cdn.bulbagarden.net/upload/thumb/7/79/138Omanyte.png/250px-138Omanyte.png,138,Omanyte,Rock,Water,$,$,40,35,40,100,90,55,35,Fighting,Ground,Grass,Electric,,,
https://cdn.bulbagarden.net/upload/thumb/4/43/139Omastar.png/250px-139Omastar.png,139,Omastar,Rock,Water,$,$,,70,60,125,115,70,55,Fighting,Ground,Grass,Electric,,,
https://cdn.bulbagarden.net/upload/thumb/f/f9/140Kabuto.png/250px-140Kabuto.png,140,Kabuto,Rock,Water,$,$,40,30,80,90,55,45,55,Fighting,Ground,Grass,Electric,,,
https://cdn.bulbagarden.net/upload/thumb/2/29/141Kabutops.png/250px-141Kabutops.png,141,Kabutops,Rock,Water,$,$,,60,115,105,65,70,80,Fighting,Ground,Grass,Electric,,,
